,fecha,institution_id,logged_users
212,2017-10-02,733,564
213,2017-10-02,48,158
214,2017-10-02,721,29
215,2017-10-02,18,2
216,2017-10-02,54,172
217,2017-10-02,554,190
218,2017-10-02,653,51
219,2017-10-02,687,56
220,2017-10-02,717,194
221,2017-10-02,694,23
222,2017-10-03,17,5
223,2017-10-03,4,18
224,2017-10-03,319,16
225,2017-10-03,731,43
226,2017-10-04,344,2
227,2017-10-05,603,42
228,2017-10-05,24,4
229,2017-10-05,736,35
230,2017-10-08,115,5
231,2017-10-09,294,9
232,2017-10-10,10,2
233,2017-10-11,468,5
234,2017-10-12,602,3
235,2017-10-12,735,3
236,2017-10-12,715,2
237,2017-10-13,361,2
238,2017-10-13,157,24
239,2017-10-13,583,6
240,2017-10-13,536,7
241,2017-10-13,719,19
242,2017-10-19,124,1
243,2017-10-19,13,1
244,2017-10-19,5,2
245,2017-10-20,14,4
246,2017-10-23,713,1
247,2017-11-01,730,19
248,2017-11-01,0,154
249,2017-11-01,541,479
250,2017-11-01,1,1757
251,2017-11-01,75,973
252,2017-11-01,554,86
253,2017-11-01,43,174
254,2017-11-01,708,4444
255,2017-11-01,294,7
256,2017-11-01,579,660
257,2017-11-01,12,2011
258,2017-11-01,524,141
259,2017-11-01,586,42
260,2017-11-01,728,116
261,2017-11-01,717,653
262,2017-11-01,29,4673
263,2017-11-02,54,58
264,2017-11-02,603,36
265,2017-11-02,731,65
266,2017-11-02,653,38
267,2017-11-02,733,77
268,2017-11-02,721,51
269,2017-11-02,736,40
270,2017-11-02,727,1102
271,2017-11-02,716,9
272,2017-11-02,344,2
273,2017-11-02,48,147
274,2017-11-03,4,15
275,2017-11-03,319,2
276,2017-11-03,687,41
277,2017-11-04,44,4
278,2017-11-04,47,2
279,2017-11-05,82,5
280,2017-11-06,18,6
281,2017-11-06,738,380
282,2017-11-07,157,7
283,2017-11-08,720,2
284,2017-11-08,694,21
285,2017-11-09,124,13
286,2017-11-09,468,10
287,2017-11-09,715,16
288,2017-11-09,13,4
289,2017-11-10,15,6
290,2017-11-10,739,846
291,2017-11-13,602,2
292,2017-11-13,583,13
293,2017-11-14,707,3
294,2017-11-14,23,3
295,2017-11-17,38,1
296,2017-11-20,14,1
297,2017-11-20,719,9
298,2017-11-20,375,12
299,2017-11-20,677,261
300,2017-11-20,115,8
301,2017-11-21,24,5
302,2017-11-22,741,3
303,2017-11-22,536,3
304,2017-11-23,459,1
305,2017-11-23,361,1
306,2017-11-26,119,1
307,2017-12-01,0,165
308,2017-12-01,524,150
309,2017-12-01,12,1338
310,2017-12-01,677,509
311,2017-12-01,1,354
312,2017-12-01,48,97
313,2017-12-01,731,71
314,2017-12-01,742,550
315,2017-12-01,733,51
316,2017-12-01,29,1435
317,2017-12-01,541,761
318,2017-12-01,721,28
319,2017-12-01,694,20
320,2017-12-01,4,18
321,2017-12-01,75,812
322,2017-12-01,554,47
323,2017-12-01,727,2058
