,id,name,city,collaborator_users,admin_users,classes_count,text_count,scorm_count,programs_count,created_tests_count,created_news_count,new_views_count,courses_count,finished_courses,answered_questions_count,correct_answers_count,incorrect_answers_count,likes_count,created_questions,created_questions,comments_count,attempts_count
41,736,Schot,Santiago,367.0,7.0,104.0,30.0,,6.0,22.0,,,9.0,159.0,9332.0,7117.0,2018.0,,80.0,80.0,,31.0
42,739,ACHS,Santiago,188.0,3.0,23.0,,,2.0,15.0,,,2.0,120.0,7552.0,5601.0,1951.0,,,,,2.0
43,742,enjoycoquimbo,,148.0,2.0,35.0,,,3.0,23.0,,,3.0,24.0,2358.0,1807.0,551.0,,,,,
44,743,Mas Errázuriz,Santiago,2317.0,7.0,959.0,863.0,,64.0,2306.0,,,85.0,1683.0,98478.0,72659.0,24088.0,,250.0,250.0,,28.0
45,744,Esachs,Santiago,136.0,2.0,23.0,,,2.0,15.0,,,2.0,119.0,6626.0,4966.0,1660.0,,,,,1.0
46,745,Airnguru,Santiago,21.0,3.0,28.0,,,1.0,8.0,,,1.0,1.0,391.0,284.0,79.0,,7.0,7.0,,
47,746,Forus,,16880.0,33.0,3225.0,1569.0,17.0,130.0,1917.0,,,334.0,20747.0,328516.0,231925.0,91540.0,4.0,981.0,981.0,,2325.0
48,748,Comulsa,,57.0,1.0,126.0,1.0,,10.0,47.0,,,10.0,15.0,1181.0,870.0,311.0,,22.0,22.0,,
49,749,Itau,Santiago,680.0,4.0,151.0,45.0,,16.0,59.0,,,15.0,390.0,22501.0,16483.0,6018.0,,,,,
50,752,Chilquinta,,1211.0,6.0,2464.0,1193.0,,186.0,3290.0,16.0,91.0,207.0,2491.0,82959.0,66908.0,15889.0,3.0,1742.0,1742.0,7.0,2424.0
51,753,Global Frozen,,45.0,3.0,8.0,2.0,,1.0,4.0,,,2.0,1.0,1026.0,669.0,53.0,,51.0,51.0,,
52,761,Encuesta,,1906.0,1.0,,2.0,,10.0,12.0,,,10.0,2023.0,888.0,458.0,315.0,,,,,3.0
53,762,Pensiones,,78.0,4.0,41.0,103.0,,2.0,59.0,,,3.0,39.0,7579.0,6057.0,1521.0,,,,,41.0
54,764,Cursos,,475.0,1.0,1890.0,1625.0,68.0,76.0,2900.0,,,147.0,372.0,17138.0,11455.0,5410.0,3.0,16136.0,16136.0,,196.0
55,766,++Zepeda,,67.0,3.0,78.0,48.0,,4.0,55.0,,,15.0,131.0,8630.0,6867.0,1763.0,,,,,
56,770,Faber-Castell,,60.0,3.0,78.0,44.0,,5.0,234.0,,,9.0,5.0,1496.0,1011.0,460.0,,,,,
57,772,Coagra,,63.0,1.0,81.0,119.0,,4.0,122.0,,,8.0,58.0,2992.0,2258.0,734.0,,,,,
58,773,Cambiaso,,39.0,2.0,192.0,283.0,,17.0,743.0,,,27.0,60.0,8275.0,6339.0,1829.0,,,,,
59,774,Programadeingles,,4.0,3.0,132.0,185.0,,4.0,699.0,,,22.0,15.0,2278.0,1885.0,383.0,,,,,
60,775,av,,2.0,2.0,318.0,336.0,36.0,4.0,557.0,,,38.0,5.0,,,,,,,,
61,776,Enami,Copiapó,2096.0,6.0,2148.0,1676.0,281.0,129.0,4032.0,5.0,611.0,239.0,6249.0,146085.0,104297.0,40108.0,40.0,859.0,859.0,8.0,5601.0
62,782,confuturo,,4614.0,6.0,2305.0,2642.0,531.0,217.0,3314.0,,,1192.0,21067.0,336839.0,308649.0,26770.0,,2111.0,2111.0,,24708.0
63,784,acerosotero,,2.0,1.0,109.0,110.0,,3.0,346.0,,,10.0,,11.0,9.0,1.0,,,,,
64,785,Clinica Universidad de los Andes,Santiago,3222.0,9.0,1346.0,1162.0,,66.0,2119.0,,,143.0,2337.0,65960.0,49320.0,14007.0,,258.0,258.0,,1575.0
65,790,excon,Huechuraba,50.0,1.0,382.0,521.0,,4.0,1278.0,,,46.0,36.0,3090.0,1990.0,1093.0,,,,,9.0
66,791,opex,,1.0,1.0,1.0,4.0,,1.0,1.0,,,2.0,,,,,,,,,
67,797,Universidad Finis Terrae,Providencia,396.0,8.0,428.0,367.0,24.0,30.0,504.0,,,44.0,361.0,11379.0,4270.0,7042.0,,1.0,1.0,,108.0
68,798,Confuturo Continuemos,,10238.0,2.0,51.0,4.0,,4.0,10.0,,,33.0,2344.0,2198.0,1612.0,586.0,,,,,4.0
69,801,liveit,,556.0,2.0,,,,1.0,,,,1.0,124.0,,,,,,,,
70,802,Educacion Inclusiva,,1.0,1.0,12.0,11.0,,1.0,15.0,,,1.0,,,,,,,,,
71,805,Escuela de Bienestar,,5.0,1.0,50.0,,,1.0,,,,1.0,,,,,,,,,
72,807,Entrenamiento y Capacitación en Salud ,,25388.0,22.0,1267.0,1085.0,528.0,330.0,767.0,,9.0,609.0,26082.0,291330.0,237471.0,49824.0,,2967.0,2967.0,,24460.0
73,813,Hofmann,,352.0,4.0,886.0,646.0,,41.0,901.0,,,53.0,201.0,7230.0,4289.0,2671.0,,,,,338.0
