,id,Cliente,Usuarios totales,Usuarios activos,Usuarios cargados 2018,Usuarios cargados 2019,Usuarios cargados 2020,Usuarios cargados 2021,Usuarios cargados 2022,Usuarios con ingreso a plataforma 2019,Usuarios con ingreso a plataforma 2020,Usuarios con ingreso a plataforma 2021,Usuarios con ingreso a plataforma 2022
802,865,pruebaadmin,9,9,0,0,0,0,9,0,0,0,4
803,866,Coaniquem,2,2,0,0,0,0,2,0,0,0,2
804,867,Ideal,8,8,0,0,0,0,8,0,0,0,7
805,868,Grupo Sat,2,2,0,0,0,0,2,0,0,0,1
806,869,Metso Chile,75,75,0,0,0,0,75,0,0,0,38
807,870,Curifor,96,96,0,0,0,0,96,0,0,0,50
808,871,Megafrio,47,47,0,0,0,0,47,0,0,0,38
809,872,Plataforma Demostrativa DEMO ARA,8,8,0,0,1,0,7,0,0,0,0
810,873,Luval,2,2,0,0,0,0,2,0,0,0,2
811,874,Plataforma TEST Fabrica ,81,81,0,0,0,33,47,0,0,0,4
812,875,CSM,14,14,0,0,0,0,14,0,0,0,3
813,876,Eduardo,1,1,0,0,0,0,1,0,0,0,1
814,877,Demo Clientes,53,52,0,0,0,0,53,0,0,0,113
815,878,Contenidos,3,3,0,0,0,0,3,0,0,0,3
816,879,Itau respaldo,67,67,63,3,0,0,1,0,0,0,0
817,880,Umine,65,63,0,0,0,0,65,0,0,0,25
818,881,Enami Capacita Contratistas,2039,2039,0,0,0,0,2039,0,0,0,426
819,882,adidas,109,109,0,0,0,0,109,0,0,0,86
820,883,javello,1,1,0,0,0,0,1,0,0,0,0
821,884,Forja - Multi X,2742,2742,0,0,0,0,2742,0,0,0,32
822,885,Carozzi,17,17,0,0,0,0,17,0,0,0,16
823,886,Facultad Medicina UChile,2,2,0,0,0,0,2,0,0,0,1
824,887,Callsouth,23,23,0,0,0,0,23,0,0,0,21
825,888,Vinilit,1,1,0,0,0,0,1,0,0,0,0
826,889,Agricola Sutil,2,2,0,0,0,0,2,0,0,0,2
827,890,freemium,11,11,0,0,0,0,11,0,0,0,1
828,892,NTT Data,394,394,0,0,0,0,394,0,0,0,98
