,id,Cliente,Usuarios totales,Usuarios activos,Usuarios cargados 2018,Usuarios cargados 2019,Usuarios cargados 2020,Usuarios cargados 2021,Usuarios cargados 2022,Usuarios con ingreso a plataforma 2019,Usuarios con ingreso a plataforma 2020,Usuarios con ingreso a plataforma 2021,Usuarios con ingreso a plataforma 2022
210,218,ICETEX,1,1,0,0,0,0,0,0,0,0,0
211,219,Depto de Gestión de la Calidad,2,2,0,0,0,0,0,0,0,0,0
212,220,Fraud; Forensics & Compliance,2,2,0,0,0,0,0,0,0,0,0
213,221,Independiente,2,2,0,0,0,0,0,0,0,0,0
214,222,HEC PARIS,2,2,0,0,0,0,0,0,0,0,0
215,223,Samsung Electronics France,2,2,0,0,0,0,0,0,0,0,0
216,224,Samsung France ,2,2,0,0,0,0,0,0,0,0,0
217,225,PROPIO,2,2,0,0,0,0,0,0,0,0,0
218,226,centre de formation,2,2,0,0,0,0,0,0,0,0,0
219,227,colegio juan ignacio molina de la florida talca,2,2,0,0,0,0,0,0,0,0,0
220,228,Vida Integra,2376,2337,1,3,147,7,0,7,1,1,1
221,229,Dksml,2,2,0,0,0,0,0,0,0,0,0
222,230,qualquer,2,2,0,0,0,0,0,0,0,0,0
223,231,(NO)Universidad Santo Tomás,2,2,0,0,0,0,0,0,0,0,0
224,232,More Magic,2,2,0,0,0,0,0,0,0,0,0
225,233,xonathan,6,6,0,0,0,4,0,0,0,0,0
226,234,inspiration,2,2,0,0,0,0,0,0,0,0,0
227,235,Alma,2,2,0,0,0,0,0,0,0,0,0
228,236,De César Martínez,2,2,0,0,0,0,0,0,0,0,0
229,237,ceuclar,2,2,0,0,0,0,0,0,0,0,0
230,238,Instituto Federal de Birigui,2,2,0,0,0,0,0,0,0,0,0
231,239,Estacio de Sa,2,2,0,0,0,0,0,0,0,0,0
232,240,Kaufmann,112,111,0,0,0,107,0,0,0,91,1
233,241,colsanter,2,2,0,0,0,0,0,0,0,0,0
234,242,ayili,2,2,0,0,0,0,0,0,0,0,0
235,243,HunarNasserTradingCo,2,2,0,0,0,0,0,0,0,0,0
236,244,no san camilo,2,2,0,0,0,0,0,0,0,0,0
237,245,escola publica,2,2,0,0,0,0,0,0,0,0,0
238,246,Community Manager Venezuela ,2,2,0,0,0,0,0,0,0,0,0
239,247,ING Direct,2,2,0,0,0,0,0,0,0,0,0
240,248,Monica Prieto,1,1,0,0,0,0,0,0,0,0,0
241,249,UCSC,2,2,0,0,0,0,0,0,0,0,0
242,250,SJTU,2,2,0,0,0,0,0,0,0,0,0
243,251,nada,2,2,0,0,0,0,0,0,0,0,0
244,252,UChile,2,2,0,0,0,0,0,0,0,0,0
245,253,Universida de Chile,2,2,0,0,0,0,0,0,0,0,0
246,254,Proyecto Omnivoros Fondart,191,191,0,0,0,0,0,0,0,0,0
247,255,Indi,2,2,0,0,0,0,0,0,0,0,0
248,256,Mary Queen of Peace ,2,2,0,0,0,0,0,0,0,0,0
249,257,Army Public School,2,2,0,0,0,0,0,0,0,0,0
250,258,Hospital Regional Rancagua,2,2,0,0,0,0,0,0,0,0,0
251,259,unnes,2,2,0,0,0,0,0,0,0,0,0
252,260,Tuspagosweb.com,2,2,0,0,0,0,0,0,0,0,0
253,261,Aiec,2,2,0,0,0,0,0,0,0,0,0
254,262,Aulas Particulares de Inglês em Contagem - MG,1,1,0,0,0,0,0,0,0,0,0
255,263,PMMG,2,2,0,0,0,0,0,0,0,0,0
256,264,liceo sagrado corazon,2,2,0,0,0,0,0,0,0,0,0
257,265,cinaps,2,2,0,0,0,0,0,0,0,0,0
258,266,salud,2,2,0,0,0,0,0,0,0,0,0
259,267,Universidad Nacional de Trujillo/Peru,2,2,0,0,0,0,0,0,0,0,0
260,268,Colegio San Ramon Nonato - Curico,2,2,0,0,0,0,0,0,0,0,0
261,269,FCFM,2,2,0,0,0,0,0,0,0,0,0
262,270,les echos,2,2,0,0,0,0,0,0,0,0,0
263,271,particular,2,2,0,0,0,0,0,0,0,0,0
264,272,Universite de bretagne occidentale,2,2,0,0,0,0,0,0,0,0,0
265,273,TEATRO REGIONAL DEL MAULE,2,2,0,0,0,0,0,0,0,0,0
266,274,FUCAEP,3,2,0,0,0,0,0,0,0,0,0
267,275,Gatitos,1,1,0,0,0,0,0,0,0,0,0
268,277,Multirotorcourses,2,2,0,0,0,0,0,0,0,0,0
269,278,Pontificia Universidad Católica de Chile,2,2,0,0,0,0,0,0,0,0,0
270,279,Corporacion Educacional CEPAC,2,2,0,0,0,0,0,0,0,0,0
271,280,aura sa,2,2,0,0,0,0,0,0,0,0,0
272,281,universidad arturo prat,2,2,0,0,0,0,0,0,0,0,0
273,282,Universidad Central del Ecuador,2,2,0,0,0,0,0,0,0,0,0
274,283,Claudia's Virtual Classroom,2,2,0,0,0,0,0,0,0,0,0
275,284,escuela anne eleonor roosevelt,2,2,0,0,0,0,0,0,0,0,0
276,285,LaComiquera,2,2,0,0,0,0,0,0,0,0,0
277,286,bioingenieros sac,2,2,0,0,0,0,0,0,0,0,0
278,287,universidad federico santa maria,2,2,0,0,0,0,0,0,0,0,0
279,288,Aprendemas,2,2,0,0,0,0,0,0,0,0,0
280,289,MAVA Consultores,2,2,0,0,0,0,0,0,0,0,0
281,290,davila,26,26,1,4,11,0,0,0,0,0,1
282,291,adProfe,2,2,0,0,0,0,0,0,0,0,0
283,292,Universidad de Concepción,2,2,0,0,0,0,0,0,0,0,0
284,293,Universidad mayor,2,2,0,0,0,0,0,0,0,0,0
285,294,Universidad Católica,2,2,0,0,0,0,0,0,0,0,0
286,295,Universidad Católica de Chile,2,2,0,0,0,0,0,0,0,0,0
287,296,Facultad de Ciencias física y matemáticas,2,2,0,0,0,0,0,0,0,0,0
288,297,casa,2,2,0,0,0,0,0,0,0,0,0
289,298,cs101,2,2,0,0,0,0,0,0,0,0,0
290,299,ApoloCapacita,7,6,0,0,0,0,0,0,0,0,0
291,300,Sena,2,2,0,0,0,0,0,0,0,0,1
292,301,jose,2,2,0,0,0,0,0,0,0,0,0
293,302,Seminario Bìblico Teològico,2,2,0,0,0,0,0,0,0,0,0
294,303,Unifor,2,2,0,0,0,0,0,0,0,0,0
295,304,ucatolica,2,2,0,0,0,0,0,0,0,0,0
296,305,University of Chile,2,2,0,0,0,0,0,0,0,0,0
297,306,Pontifica Universidad Católica,2,2,0,0,0,0,0,0,0,0,0
298,307,colegio regina pacis,2,2,0,0,0,0,0,0,0,0,0
299,308,Felipematus,2,2,0,0,0,0,0,0,0,0,0
300,309,Instituto Profesional los Leones,2,2,0,0,0,0,0,0,0,0,0
301,310,Tecnologías para la Seguridad del Paciente,70,70,0,0,0,0,0,2,1,0,1
302,311,UNAP,2,2,0,0,0,0,0,0,0,0,0
303,312,English Online,3,2,0,0,0,0,0,0,0,0,0
304,313,Dddd,2,2,0,0,0,0,0,0,0,0,0
305,314,cibernautas,1,1,0,0,0,0,0,0,0,0,0
306,315,Mulesoft,1,1,0,0,0,0,0,0,0,0,0
307,316,valita ,2,2,0,0,0,0,0,0,0,0,0
308,317,universidad catolica de santiago,2,2,0,0,0,0,0,0,0,0,0
309,318,colegio ,2,2,0,0,0,0,0,0,0,0,0
310,319,PUCC,2,2,0,0,0,0,0,0,0,0,0
311,320,UPartners Consultoría,35,32,0,0,0,0,0,0,0,0,0
312,321,Educaccionate,1,1,0,0,0,0,0,0,0,0,0
313,322,(no)Santo Tomas,3,3,0,0,0,0,1,0,0,0,0
314,323,Asociados Godoy Concha Limitada,4,4,0,0,1,0,0,0,0,0,0
315,324,Mindkey,2,2,0,0,0,0,0,0,0,0,0
316,325,Administrarte,3,3,0,0,0,0,0,1,0,0,1
317,326,Haute école de gestion de Genève,2,2,0,0,0,0,0,0,0,0,0
318,327,FamillyTraining,2,2,0,0,0,0,0,0,0,0,0
319,328,universidad tecnologica de chile,2,2,0,0,0,0,0,0,0,0,0
320,329,Audiovisual,2,2,0,0,0,0,0,0,0,0,0
321,330,student,2,2,0,0,0,0,0,0,0,0,0
322,331,educacion,2,2,0,0,0,0,0,0,0,0,0
323,332,liceo 1,2,2,0,0,0,0,0,0,0,0,0
324,333,Liceo A N° 5,2,2,0,0,0,0,0,0,0,0,0
325,334,Duoc,2,2,0,0,0,0,0,0,0,0,0
326,335,Universidad tecnológica metropolitana de Chile ,2,2,0,0,0,0,0,0,0,0,0
327,336,liceo 4a,2,2,0,0,0,0,0,0,0,0,0
328,337,universidad catolica de la santisima concepcion,2,2,0,0,0,0,0,0,0,0,0
329,338,Andres Bello,2,2,0,0,0,0,0,0,0,0,0
330,339,Portafolio Digital,2,2,0,0,0,0,0,0,0,0,0
331,340,Privada,2,2,0,0,0,0,0,0,0,0,0
332,341,udla,2,2,0,0,0,0,0,0,0,0,0
333,342,classroom,4,4,0,0,0,0,2,0,0,0,0
334,343,Daniela,2,2,0,0,0,0,0,0,0,0,0
335,344,universidad catolica del norte ,2,2,0,0,0,0,0,0,0,0,0
336,345,defensa  civil chile,2,2,0,0,0,0,0,0,0,0,0
337,346,Aprimin,3,3,0,0,0,0,0,0,0,0,0
338,347,liceo paulajaraquemada,2,2,0,0,0,0,0,0,0,0,0
339,348,Creator Up,3,3,0,0,0,0,0,0,0,0,0
340,349,ariema,2,2,0,0,0,0,0,0,0,0,0
341,351,N.S. LAPA,2,2,0,0,0,0,0,0,0,0,0
342,352,Vibgyor,2,2,0,0,0,0,0,0,0,0,0
343,353,WEHRLI,2,2,0,0,0,0,0,0,0,0,0
344,354,Veja,2,2,0,0,0,0,0,0,0,0,0
345,355,Endeavor Brasil,2,2,0,0,0,0,0,0,0,0,0
346,356,Patricia,2,2,0,0,0,0,0,0,0,0,0
347,357,Universidad de atacama,2,2,0,0,0,0,0,0,0,0,0
348,358,Instituto federal da Paraíba,2,2,0,0,0,0,0,0,0,0,0
349,359,Universidad católica123,2,2,0,0,0,0,0,0,0,0,0
350,360,Universidad Católica Silva Henriquez,2,2,0,0,0,0,0,0,0,0,0
351,361,Classroom.tv Empresas,119,110,0,0,0,0,1,1,0,0,1
352,362,Mauro Casa,2,2,0,0,0,0,0,0,0,0,0
353,363,TTM,2,2,0,0,0,0,0,0,0,0,0
354,364,Liceo Teniente  Dagoberto Godoy,2,2,0,0,0,0,0,0,0,0,0
355,365,Captainfight,10,10,0,0,0,0,0,0,0,0,0
356,366,Conservatorio de Musica,2,2,0,0,0,0,0,0,0,0,0
357,367,capgemini,2,2,0,0,0,0,0,0,0,0,0
358,368,Universidad Laica Eloy Alfaro Manabi,2,2,0,0,0,0,0,0,0,0,0
359,369,BETC DIGITAL,2,2,0,0,0,0,0,0,0,0,0
360,370,Valparaíso,2,2,0,0,0,0,0,0,0,0,0
361,371,ACADEMIAEF,2,2,0,0,0,0,0,0,0,0,0
362,372,Universidad Tecnologica de Chile INACAP,2,2,0,0,0,0,0,0,0,0,0
363,373,Centro universitario UNA,2,2,0,0,0,0,0,0,0,0,0
364,374,banco de credito e inversiones,2,2,0,0,0,0,0,0,0,0,0
365,375,Agentes Libres,943,919,0,0,1,0,0,4,1,0,1
366,376,MPA LTDA,2,2,0,0,0,0,0,0,0,0,0
367,377,Luis Enrique Besa Vial,2,2,0,0,0,0,0,0,0,0,0
368,378,Colégio Objetivo Itapetininga,2,2,0,0,0,0,0,0,0,0,0
369,379,Nbbti,2,2,0,0,0,0,0,0,0,0,0
370,380,albertina ruiz,2,2,0,0,0,0,0,0,0,0,0
371,381,mmcv,1,1,0,0,0,0,0,0,0,0,0
372,382,Universidad  San Sebastian,2,2,0,0,0,0,1,0,0,0,1
373,383,PDI,2,2,0,0,0,0,0,0,0,0,0
374,384,alexis,2,2,0,0,0,0,0,0,0,0,0
375,385,Gladis Valenzuela Valenzuela  Valenzuela vallejos,1,1,0,0,0,0,0,0,0,0,0
376,386,Instituto profesional duoc uc,2,2,0,0,0,0,0,0,0,0,0
377,387,cep san ramon,2,2,0,0,0,0,0,0,0,0,0
378,388,multiper sa,2,2,0,0,0,0,0,0,0,0,0
379,389,Castorama,2,2,0,0,0,0,0,0,0,0,0
380,390,Musica & Arte,2,2,0,0,0,0,0,0,0,0,0
381,391,Tjce,2,2,0,0,0,0,0,0,0,0,0
382,392,arte,2,2,0,0,0,0,0,0,0,0,0
383,393,Agrupamento de escolas Amadora oeste,1,1,0,0,0,0,0,0,0,0,0
384,394,Ilustre Municipalidad de lo Espejo,2,2,0,0,0,0,0,0,0,0,0
385,395,maimonides school ,2,2,0,0,0,0,0,0,0,0,0
386,396,Universidad iberoamericana ,2,2,0,0,0,0,0,0,0,0,0
387,397,Alyson,2,2,0,0,0,0,0,0,0,0,0
388,398,Codarts,2,2,0,0,0,0,0,0,0,0,0
389,399,hernan moya,2,2,0,0,0,0,0,0,0,0,0
390,400,Pública ,2,2,0,0,0,0,0,0,0,0,0
391,401,Socovesa,2,2,0,0,0,0,0,0,0,0,0
392,402,Colegio Juan Pablo Segundo,2,2,0,0,0,0,0,0,0,0,0
393,403,notengo,2,2,0,0,0,0,0,0,0,0,0
394,404,CORFO,2,2,0,0,0,0,0,0,0,0,0
395,405,ABIERTA,2,2,0,0,0,0,0,0,0,0,0
396,406,Vzmuñoz,2,2,0,0,0,0,0,0,0,0,0
397,407,Centro Emocional,2,2,0,0,0,0,0,0,0,0,0
398,408,Capacitación Metalurgicos,2,2,0,0,0,0,0,0,0,0,0
399,409,Universidad de las Américas ,2,2,0,0,0,0,0,0,0,0,0
400,410,U. Santiago,108,107,0,0,104,1,0,0,99,7,0
401,411,Colegio el bosque,2,2,0,0,0,0,0,0,0,0,0
402,412,Universidad de santiago,2,2,0,0,0,0,0,0,0,0,0
403,413,Universidad Católica los Ángeles de Chimbote,2,2,0,0,0,0,0,0,0,0,0
404,414,Innovacoord,3,2,0,0,0,0,0,0,0,0,0
405,415,Universidad de los Lagos,2,2,0,0,0,0,0,0,0,0,0
406,416,U.autonoma,2,2,0,0,0,0,0,0,0,0,0
407,417,ciber ingeniería ,2,2,0,0,0,0,0,0,0,0,0
408,418,Autonoma ,2,2,0,0,0,0,0,0,0,0,0
409,419,ANONIMO,2,2,0,0,0,0,0,0,0,0,0
410,420,Nicolas Laczka,12,10,0,0,0,0,0,0,0,0,0
411,421,Centro Cultural Lakitas Eterna Juventud,2,2,0,0,0,0,0,0,0,0,0
412,422,U autonoma de Chile,2,2,0,0,0,0,0,0,0,0,0
413,423,Emtec Talca Spa,2,2,0,0,0,0,0,0,0,0,0
414,424,quim,2,2,0,0,0,0,0,0,0,0,0
415,425,Universidad San Martin de Porres,2,2,0,0,0,0,0,0,0,0,0
416,426,Instituto Profecional AIEP,2,2,0,0,0,0,0,0,0,0,0
417,427,katherine,2,2,0,0,0,0,0,0,0,0,0
418,429,Universidad Autónoma de Chile,2,2,0,0,0,0,0,0,0,0,0
419,430,carabineros,2,2,0,0,0,0,0,0,0,0,0
420,431,Test,2,1,0,0,0,0,0,0,0,0,0
421,432,(no)u.santo tomás,3,3,0,0,0,1,0,0,0,0,0
422,433,colegio umbral de curauma,2,2,0,0,0,0,0,0,0,0,0
423,434,Siges,2,2,0,0,0,0,0,0,0,0,0
424,435,universidade de uberaba,2,2,0,0,0,0,0,0,0,0,0
425,436,Uni. of Kentucky,2,2,0,0,0,0,0,0,0,0,0
426,437,Universidad Privada del Norte,2,2,0,0,0,0,0,0,0,0,0
427,438,lemsprod,2,2,0,0,0,0,0,0,0,0,0
428,439,DigiMarketing 2.0,2,2,0,0,0,0,0,0,0,0,0
429,440,ChileProveedores,2,2,0,0,0,0,0,0,0,0,0
430,441,miUniv,2,2,0,0,0,0,0,0,0,0,0
431,442,Psicóloga,2,2,0,0,0,0,0,0,0,0,0
432,443,MAPM,2,2,0,0,0,0,0,0,0,0,0
433,444,liceo miguel rafael prado,2,2,0,0,0,0,0,0,0,0,0
434,445,homeschool,2,2,0,0,0,0,0,0,0,0,0
435,446,Udec,2,2,0,0,0,0,0,0,0,0,0
436,447,Diego Portales,2,2,0,0,0,0,0,0,0,0,0
437,448,challenges,2,2,0,0,0,0,0,0,0,0,0
438,449,Merces,2,2,0,0,0,0,0,0,0,0,0
439,450,universidad miguel de cervantes,2,2,0,0,0,0,0,0,0,0,0
440,451,Universidad de Colima ,2,2,0,0,0,0,0,0,0,0,0
441,452,PucRJ,2,2,0,0,0,0,0,0,0,0,0
442,453,colegio Emmanuel,2,2,0,0,0,0,0,0,0,0,0
443,454,Colegio Andres Bello - Cabildo,2,2,0,0,0,0,0,0,0,0,0
444,455,Bionico LTDA,2,2,0,0,0,0,0,0,0,0,0
445,456,autonomo,1,1,0,0,0,0,0,0,0,0,0
446,457,PontificiaUniversidad Catolica De Chile,2,2,0,0,0,0,0,0,0,0,0
447,458,Escuela Digital 4.0,2,2,0,0,0,0,0,0,0,0,0
448,459,Universidad Iberoamericana,88,87,0,0,0,0,0,0,1,0,1
449,460,pucatolica,2,2,0,0,0,0,0,0,0,0,0
450,461,Mudas Tech,3,3,0,0,0,0,0,0,0,0,0
451,462,Sekolah Menengah Kebangsaan ayer Baloi,2,2,0,0,0,0,0,0,0,0,0
452,463,Universidad pedagógica y tecnologica de colombia,2,2,0,0,0,0,0,0,0,0,0
453,464,libre,2,2,0,0,0,0,0,0,0,0,0
454,465,Self,2,2,0,0,0,0,0,0,0,0,0
455,466,Barceló,2,2,0,0,0,0,0,0,0,0,0
456,467,Universidad de la Frontera,2,2,0,0,0,0,0,0,0,0,0
457,468,Banco Consorcio,1181,1177,0,0,0,0,0,1,0,0,0
458,469,sekolah menengah kebangsaan seremban 2,2,2,0,0,0,0,0,0,0,0,0
459,470,comando de binestar,2,2,0,0,0,0,0,0,0,0,0
460,471,Gelada express,2,2,0,0,0,0,0,0,0,0,0
461,472,TestInstitution,2,2,0,0,0,0,0,0,0,0,0
462,473,Academia de la Felicidad IF,389,364,0,0,0,0,0,0,0,0,0
463,474,consorcio seguros de vida,2,2,0,0,0,0,0,0,0,0,0
464,475,Universidad Santa María,2,2,0,0,0,0,0,0,0,0,0
465,476,Pontificia Universidad Catolica de Chile,2,2,0,0,0,0,0,0,0,0,0
466,477,Unip,2,2,0,0,0,0,0,0,0,0,0
467,478,Alberto Widmer,2,2,0,0,0,0,0,0,0,0,0
468,479,trazos,2,2,0,0,0,0,0,0,0,0,0
469,480,Fundacion Universitaria Luis Amigo,2,2,0,0,0,0,0,0,0,0,0
470,481,Havard,2,2,0,0,0,0,0,0,0,0,0
471,482,Pitagoras,2,2,0,0,0,0,0,0,0,0,0
472,483,Escola Superior de Educação de Santarém,2,2,0,0,0,0,0,0,0,0,0
473,484,tancredo,2,2,0,0,0,0,0,0,0,0,0
474,485,UTESA,2,2,0,0,0,0,0,0,0,0,0
475,486,grandviewhighschool,2,2,0,0,0,0,0,0,0,0,0
476,487,3h33,2,2,0,0,0,0,0,0,0,0,0
477,488,Filgueiras Lima,2,2,0,0,0,0,0,0,0,0,0
478,489,karel de grote hogeschool antwerpen,2,2,0,0,0,0,0,0,0,0,0
479,490,CuongDQ,2,2,0,0,0,0,0,0,0,0,0
480,491,Potificia Universidad Católica,2,2,0,0,0,0,0,0,0,0,0
481,492,ulnx,2,2,0,0,0,0,0,0,0,0,0
482,493,Josmar,2,2,0,0,0,0,0,0,0,0,0
483,494,IF Chile,2,1,0,0,0,0,0,0,0,0,0
484,495,TW Logistica,2,2,0,0,0,0,0,0,0,0,0
485,496,SoSP,2,2,0,0,0,0,0,0,0,0,0
486,499,UABC,2,2,0,0,0,0,0,0,0,0,0
487,500,CHROLE Consultorías e Informática,2,2,0,0,0,0,0,0,0,0,0
488,501,Gymnazium Klatovy,2,2,0,0,0,0,0,0,0,0,0
489,502,mundo22,2,2,0,0,0,0,0,0,0,0,0
490,503,igutcor,2,2,0,0,0,0,0,0,0,0,0
491,504,Innovaciones Tecnologicas Ltda.,2,2,0,0,0,0,0,0,0,0,0
492,505,Liceo politécnico Andes,2,2,0,0,0,0,0,0,0,0,0
493,506,AVHS,2,2,0,0,0,0,0,0,0,0,0
494,507,AVHT,2,2,0,0,0,0,0,0,0,0,0
495,508,IUPSM Barcelona,2,2,0,0,0,0,0,0,0,0,0
496,509,Centro Paula Souza,2,2,0,0,0,0,0,0,0,0,0
497,510,Gonzalo Hernandez,2,2,0,0,0,0,0,0,0,0,0
498,511,Colegio de Adultos Pulmahue,2,2,0,0,0,0,0,0,0,0,0
499,512,nuncaestarde,2,2,0,0,0,0,0,0,0,0,0
500,513,adolfo ibáñez,2,2,0,0,0,0,0,0,0,0,0
501,514,Universidad UVM ,2,2,0,0,0,0,0,0,0,0,0
502,515,peñalolen,2,2,0,0,0,0,0,0,0,0,0
503,516,Sant Bonaventura,2,2,0,0,0,0,0,0,0,0,0
504,517,ponticifia universidad catolica de chile ,2,2,0,0,0,0,0,0,0,0,0
505,518,Ersil,2,2,0,0,0,0,0,0,0,0,0
506,519,mayor,2,2,0,0,0,0,0,0,0,0,0
507,520,mimotive,2,2,0,0,0,0,0,0,0,0,0
508,521,Universidad mayor temuco ,2,2,0,0,0,0,0,0,0,0,0
509,524,División El Teniente Codelco,969,963,2,2,0,0,0,14,2,1,2
510,525,Rainbow Free Learning,2,2,0,0,0,0,0,0,0,0,0
511,526,Fundación Imagen de Chile,2,2,0,0,0,0,0,0,0,0,0
512,527,Exprit - Gordon Crossings,2,2,0,0,0,0,0,0,0,0,0
513,528,Hemingway High School,2,2,0,0,0,0,0,0,0,0,0
514,529,CASER LTDA,2,2,0,0,0,0,0,0,0,0,0
515,530,católica,2,2,0,0,0,0,0,0,0,0,0
516,531,Explorabyedhec,2,2,0,0,0,0,0,0,0,0,0
517,532,Universidad Autónoma de Barcelona,2,2,0,0,0,0,0,0,0,0,0
518,533,York St John University,2,2,0,0,0,0,0,0,0,0,0
519,534,Fundacion Educacion Online,2,2,0,0,0,0,0,0,0,0,0
520,535,Instituto de Grafologìa Grafos,2,2,0,0,0,0,0,0,0,0,0
521,536,ClassroomTV Test,20,19,3,0,0,0,0,1,0,0,0
522,537,Instituto Aplaplac,4,3,1,0,0,0,0,0,0,0,0
523,538,Solandro ,2,2,0,0,0,0,0,0,0,0,0
524,539,Instituto de Estudios Bancarios Guillermo Subercaseux,3,2,0,0,0,0,0,0,0,0,0
525,540,Universidad Alberto Hurtado,2,2,0,0,0,0,0,0,0,0,0
526,541,Treid,12863,12856,1657,2799,2001,378,1207,2607,1607,258,665
527,542,TREID Spa,3,3,0,0,0,0,0,0,1,0,0
528,543,alger,2,2,0,0,0,0,0,0,0,0,0
529,544,ENCG agadir,2,2,0,0,0,0,0,0,0,0,0
530,545,UC del norte,2,2,0,0,0,0,0,0,0,0,0
531,546,Dicomo,2,2,0,0,0,0,0,0,0,0,0
532,547,Ministerio de Transportes y Telecomunicaciones ,2,2,0,0,0,0,0,0,0,0,0
533,548,Instituto Online Desarrollo de competencias,2,2,0,0,0,0,0,0,0,0,0
534,549,Federico Santa María Technical University,2,2,0,0,0,0,0,0,0,0,0
535,550,ECLSA,2,2,0,0,0,0,0,0,0,0,0
536,551,Impulsas SpA,2,2,0,0,0,0,0,0,0,0,0
537,554,Ministerio de Salud - SIAD,1194,1194,1169,9,0,2,0,160,44,24,14
538,555,Buap,2,2,0,0,0,0,0,0,0,0,0
539,556,mine,2,2,0,0,0,0,0,0,0,0,0
540,557,galvis workshop,2,2,0,0,0,0,0,0,0,0,0
541,559,L,2,2,0,0,0,0,0,0,0,0,0
542,560,www.sudlogistics.com,2,2,0,0,0,0,0,0,0,0,0
543,561,university of newcastle,2,2,0,0,0,0,0,0,0,0,0
544,562,Pontificia Uc,2,2,0,0,0,0,0,0,0,0,0
545,563,Total M&S,2,2,0,0,0,0,0,0,0,0,0
546,565,UTFSMjlcv,2,2,0,0,0,0,0,0,0,0,0
547,566,HR Asociados Ltda,2,2,0,0,0,0,0,0,0,0,0
548,567,Instituto Federal deCiências e Técnologia do Estado de São Paulo,2,2,0,0,0,0,0,0,0,0,0
549,568,Pontificia Universidad Catolice de Chile,2,2,0,0,0,0,0,0,0,0,0
550,569,Pontificia Católica de Chile,2,2,0,0,0,0,0,0,0,0,0
551,570,IdeaPaís,2,2,0,0,0,0,0,0,0,0,0
552,571,Metric,2,2,0,0,0,0,0,0,0,0,0
553,572,ComparaOnline,2,2,0,0,0,0,0,0,0,0,0
554,573,Totozi,2,2,0,0,0,0,0,0,0,0,0
555,574,claro,2,2,0,0,0,0,0,0,0,0,0
556,575,Turingu,77,75,0,0,0,0,0,0,0,0,0
557,576,Bennett,2,2,0,0,0,0,0,0,0,0,0
558,578,Círculo Público Privado,16,15,0,0,0,0,0,0,0,0,0
559,579,Derecho-Universidad Católica del Norte,186,185,0,0,1,1,0,3,1,0,1
560,580,Catholic university,2,2,0,0,0,0,0,1,0,0,0
561,581,PontificiaUniversidadCatólicadeChile,2,2,0,0,0,0,0,0,0,0,0
562,582,Escuela Nacional de Administración Pública - ENA,2,2,0,0,0,0,0,0,0,0,0
563,583,Delaire Capacitación,25,25,0,0,0,0,0,0,0,0,0
564,584,Escuela CMC,2,2,0,0,0,0,0,0,0,0,0
565,586,Salvaunavida Chile,1120,1119,257,0,59,218,167,1,12,17,114
566,587,ICHN,2,2,0,0,0,0,0,0,0,0,0
567,588,Universidad sek,2,2,0,0,0,0,0,0,0,0,0
568,589,shkways - notconsulting,2,2,0,0,0,0,0,0,0,0,0
569,590,Aprendikids,2,2,0,0,0,0,0,0,0,0,0
570,591,Educatemas Online,2,2,0,0,0,0,0,0,0,0,0
571,592,Universidad Peruana Cayetano heredia,4,4,0,0,0,0,0,0,0,0,0
572,594,Voissnet S.A.,2,2,0,0,0,0,0,0,0,0,0
573,595,Benefits,2,2,0,0,0,0,0,0,0,0,0
574,596,Cortecom,1,1,0,0,0,0,0,0,0,0,0
575,597,Vargasi Capacitaciones,2,2,0,0,0,0,0,0,0,0,0
576,599,hola,2,2,0,0,0,0,0,0,0,0,0
577,601,GIDAHATARI CHILE,2,2,0,0,0,0,0,0,0,0,0
578,602,Agrosuper,3,3,0,0,0,0,0,1,0,0,0
579,603,Agrosuper,523,523,448,20,0,0,0,34,2,0,2
580,604,MAC - Valdivia ,2,2,0,0,0,0,0,0,0,0,0
581,605,Treid Captadores,2,2,0,0,0,0,1,0,0,0,0
582,607,ColbunSSO,2,2,0,0,0,0,0,0,0,0,0
583,608,Viejas Mates,2,2,0,0,0,0,0,0,0,0,0
584,611,Universidad Corporativa,2,2,0,0,0,0,0,0,0,0,0
585,612,Cuatro Tintas,2,2,0,0,0,0,0,0,0,0,0
586,613,LIDERCORP,2,2,0,0,0,0,0,0,0,0,0
587,614,Colegio San Ignacio el bosque ,2,2,0,0,0,0,0,0,0,0,0
588,617,Ministerio ,2,2,0,0,0,0,0,0,0,0,0
589,621,Ulima,2,2,0,0,0,0,0,0,0,0,0
590,622,Zykret - Neuromarketing Insights & Planning,2,2,0,0,0,0,0,0,0,0,0
591,623,EL CAPITAL HUMANO,2,2,0,0,0,0,0,1,0,0,0
592,624,Universidad de Ciencias y Humanidades,2,2,0,0,0,0,0,0,0,0,0
593,625,Universidad Central de Chile,2,2,0,0,0,0,0,0,0,0,0
594,626,Universidad Católica de Temuco,2,2,0,0,0,0,0,0,0,0,0
595,627,Asociación Talentos y Talentosos,2,2,0,0,0,0,0,0,0,0,0
596,628,INACAP DNC,2,2,0,0,0,0,0,0,0,0,0
597,629,Liceo Catolico Atacama ,2,2,0,0,0,0,0,0,0,0,0
598,630,Academia de humanidades ,2,2,0,0,0,0,0,0,0,0,0
599,631,Pontificia Universidad Católica de Chile 123123,2,2,0,0,0,0,0,0,0,0,0
600,632,cervecerias chile,2,2,0,0,0,0,0,0,0,0,0
601,633,colegio alemán ,2,2,0,0,0,0,0,0,0,0,0
